instruction,immediates,opcode,input,output
unreachable,,00,t[],t[]
nop,,01,,
block,bt,02,t[],t[]
loop,bt,03,t[],t[]
if,bt,04,"t[],i32",t[]
else,,05,,
end,,0B,,
br,l,0C,"t[],t[]",t[]
brif,l,0D,"t[],i32",t[]
brtable,"l,l",0E,"t[],t[],i32",t[]
return,,0F,"t[],t[]",t[]
call,x,10,t[],t[]
callindirect,"x,y",11,"t[],i32",t[]
drop,,1A,t,
select,,1B,"t,t,i32",t
select,t,1C,"t,t,i32",t
localget,x,20,,t
localset,x,21,t,
localtee,x,22,t,t
globalget,x,23,,t
globalset,x,24,t,
tableget,x,25,i32,t
tableset,x,26,"i32,t",
i32.load,memarg,28,i32,i32
i64.load,memarg,29,i32,i64
f32.load,memarg,2A,i32,f32
f64.load,memarg,2B,i32,f64
i32.load8,s_memarg,2C,i32,i32
i32.load8,u_memarg,2D,i32,i32
i32.load16,s_memarg,2E,i32,i32
i32.load16,u_memarg,2F,i32,i32
i64.load8,s_memarg,30,i32,i64
i64.load8,u_memarg,31,i32,i64
i64.load16,s_memarg,32,i32,i64
i64.load16,u_memarg,33,i32,i64
i64.load32,s_memarg,34,i32,i64
i64.load32,u_memarg,35,i32,i64
i32.store,memarg,36,"i32,i32",
i64.store,memarg,37,"i32,i64",
f32.store,memarg,38,"i32,f32",
f64.store,memarg,39,"i32,f64",
i32.store8,memarg,3A,"i32,i32",
i32.store16,memarg,3B,"i32,i32",
i64.store8,memarg,3C,"i32,i64",
i64.store16,memarg,3D,"i32,i64",
i64.store32,memarg,3E,"i32,i64",
memorysize,,3F,,i32
memorygrow,,40,i32,i32
i32.const,i32,41,,i32
i64.const,i64,42,,i64
f32.const,f32,43,,f32
f64.const,f64,44,,f64
i32.eqz,,45,i32,i32
i32.eq,,46,"i32,i32",i32
i32.ne,,47,"i32,i32",i32
i32.lt,s,48,"i32,i32",i32
i32.lt,u,49,"i32,i32",i32
i32.gt,s,4A,"i32,i32",i32
i32.gt,u,4B,"i32,i32",i32
i32.le,s,4C,"i32,i32",i32
i32.le,u,4D,"i32,i32",i32
i32.ge,s,4E,"i32,i32",i32
i32.ge,u,4F,"i32,i32",i32
i64.eqz,,50,i64,i32
i64.eq,,51,"i64,i64",i32
i64.ne,,52,"i64,i64",i32
i64.lt,s,53,"i64,i64",i32
i64.lt,u,54,"i64,i64",i32
i64.gt,s,55,"i64,i64",i32
i64.gt,u,56,"i64,i64",i32
i64.le,s,57,"i64,i64",i32
i64.le,u,58,"i64,i64",i32
i64.ge,s,59,"i64,i64",i32
i64.ge,u,5A,"i64,i64",i32
f32.eq,,5B,"f32,f32",i32
f32.ne,,5C,"f32,f32",i32
f32.lt,,5D,"f32,f32",i32
f32.gt,,5E,"f32,f32",i32
f32.le,,5F,"f32,f32",i32
f32.ge,,60,"f32,f32",i32
f64.eq,,61,"f64,f64",i32
f64.ne,,62,"f64,f64",i32
f64.lt,,63,"f64,f64",i32
f64.gt,,64,"f64,f64",i32
f64.le,,65,"f64,f64",i32
f64.ge,,66,"f64,f64",i32
i32.clz,,67,i32,i32
i32.ctz,,68,i32,i32
i32.popcnt,,69,i32,i32
i32.add,,6A,"i32,i32",i32
i32.sub,,6B,"i32,i32",i32
i32.mul,,6C,"i32,i32",i32
i32.div,s,6D,"i32,i32",i32
i32.div,u,6E,"i32,i32",i32
i32.rem,s,6F,"i32,i32",i32
i32.rem,u,70,"i32,i32",i32
i32.and,,71,"i32,i32",i32
i32.or,,72,"i32,i32",i32
i32.xor,,73,"i32,i32",i32
i32.shl,,74,"i32,i32",i32
i32.shr,s,75,"i32,i32",i32
i32.shr,u,76,"i32,i32",i32
i32.rotl,,77,"i32,i32",i32
i32.rotr,,78,"i32,i32",i32
i64.clz,,79,i64,i64
i64.ctz,,7A,i64,i64
i64.popcnt,,7B,i64,i64
i64.add,,7C,"i64,i64",i64
i64.sub,,7D,"i64,i64",i64
i64.mul,,7E,"i64,i64",i64
i64.div,s,7F,"i64,i64",i64
i64.div,u,80,"i64,i64",i64
i64.rem,s,81,"i64,i64",i64
i64.rem,u,82,"i64,i64",i64
i64.and,,83,"i64,i64",i64
i64.or,,84,"i64,i64",i64
i64.xor,,85,"i64,i64",i64
i64.shl,,86,"i64,i64",i64
i64.shr,s,87,"i64,i64",i64
i64.shr,u,88,"i64,i64",i64
i64.rotl,,89,"i64,i64",i64
i64.rotr,,8A,"i64,i64",i64
f32.abs,,8B,f32,f32
f32.neg,,8C,f32,f32
f32.ceil,,8D,f32,f32
f32.floor,,8E,f32,f32
f32.trunc,,8F,f32,f32
f32.nearest,,90,f32,f32
f32.sqrt,,91,f32,f32
f32.add,,92,"f32,f32",f32
f32.sub,,93,"f32,f32",f32
f32.mul,,94,"f32,f32",f32
f32.div,,95,"f32,f32",f32
f32.fmin,,96,"f32,f32",f32
f32.fmax,,97,"f32,f32",f32
f32.copysign,,98,"f32,f32",f32
f64.abs,,99,f64,f64
f64.neg,,9A,f64,f64
f64.ceil,,9B,f64,f64
f64.floor,,9C,f64,f64
f64.trunc,,9D,f64,f64
f64.nearest,,9E,f64,f64
f64.sqrt,,9F,f64,f64
f64.add,,A0,"f64,f64",f64
f64.sub,,A1,"f64,f64",f64
f64.mul,,A2,"f64,f64",f64
f64.div,,A3,"f64,f64",f64
f64.fmin,,A4,"f64,f64",f64
f64.fmax,,A5,"f64,f64",f64
f64.copysign,,A6,"f64,f64",f64
i32.wrap,i64,A7,i64,i32
i32.trunc,f32_s,A8,f32,i32
i32.trunc,f32_u,A9,f32,i32
i32.trunc,f64_s,AA,f64,i32
i32.trunc,f64_u,AB,f64,i32
i64.extend,i32_s,AC,i32,i64
i64.extend,i32_u,AD,i32,i64
i64.trunc,f32_s,AE,f32,i64
i64.trunc,f32_u,AF,f32,i64
i64.trunc,f64_s,B0,f64,i64
i64.trunc,f64_u,B1,f64,i64
f32.convert,i32_s,B2,i32,f32
f32.convert,i32_u,B3,i32,f32
f32.convert,i64_s,B4,i64,f32
f32.convert,i64_u,B5,i64,f32
f32.demote,f64,B6,f64,f32
f64.convert,i32_s,B7,i32,f64
f64.convert,i32_u,B8,i32,f64
f64.convert,i64_s,B9,i64,f64
f64.convert,i64_u,BA,i64,f64
f64.promote,f32,BB,f32,f64
i32.reinterpret,f32,BC,f32,i32
i64.reinterpret,f64,BD,f64,i64
f32.reinterpret,i32,BE,i32,f32
f64.reinterpret,i64,BF,i64,f64
i32.extend8,s,C0,i32,i32
i32.extend16,s,C1,i32,i32
i64.extend8,s,C2,i64,i64
i64.extend16,s,C3,i64,i64
i64.extend32,s,C4,i64,i64
refnull,t,D0,,t
refisnull,,D1,t,i32
reffunc,x,D2,,funcref
i32.trunc,sat.f32.s,FC 00,f32,i32
i32.trunc,sat.f32.u,FC 01,f32,i32
i32.trunc,sat.f64.s,FC 02,f64,i32
i32.trunc,sat.f64.u,FC 03,f64,i32
i64.trunc,sat.f32.s,FC 04,f32,i64
i64.trunc,sat.f32.u,FC 05,f32,i64
i64.trunc,sat.f64.s,FC 06,f64,i64
i64.trunc,sat.f64.u,FC 07,f64,i64
memoryinit,x,FC 08,"i32,i32,i32",
datadrop,x,FC 09,,
memorycopy,,FC 0A,"i32,i32,i32",
memoryfill,,FC 0B,"i32,i32,i32",
tableinit,"x,y",FC 0C,"i32,i32,i32",
elemdrop,x,FC 0D,,
tablecopy,"x,y",FC 0E,"i32,i32,i32",
tablegrow,x,FC 0F,"t,i32",i32
tablesize,x,FC 10,,i32
tablefill,x,FC 11,"i32,t,i32",
v128.load,memarg,FD 00,i32,v128
v128.load8x8,s_memarg,FD 01,i32,v128
v128.load8x8,u_memarg,FD 02,i32,v128
v128.load16x4,s_memarg,FD 03,i32,v128
v128.load16x4,u_memarg,FD 04,i32,v128
v128.load32x2,s_memarg,FD 05,i32,v128
v128.load32x2,u_memarg,FD 06,i32,v128
v128.load8,splat_memarg,FD 07,i32,v128
v128.load16,splat_memarg,FD 08,i32,v128
v128.load32,splat_memarg,FD 09,i32,v128
v128.load64,splat_memarg,FD 0A,i32,v128
v128.store,memarg,FD 0B,"i32,v128",
v128.vconst,i128,FD 0C,,v128
i8x16.shuffle,laneidx{16},FD 0D,"v128,v128",v128
i8x16.swizzle,,FD 0E,"v128,v128",v128
i8x16.splat,,FD 0F,i32,v128
i16x8.splat,,FD 10,i32,v128
i32x4.splat,,FD 11,i32,v128
i64x2.splat,,FD 12,i64,v128
f32x4.splat,,FD 13,f32,v128
f64x2.splat,,FD 14,f64,v128
i8x16.extractlane,s_laneidx,FD 15,v128,i32
i8x16.extractlane,u_laneidx,FD 16,v128,i32
i8x16.replacelane,laneidx,FD 17,"v128,i32",v128
i16x8.extractlane,s_laneidx,FD 18,v128,i32
i16x8.extractlane,u_laneidx,FD 19,v128,i32
i16x8.replacelane,laneidx,FD 1A,"v128,i32",v128
i32x4.extractlane,laneidx,FD 1B,v128,i32
i32x4.replacelane,laneidx,FD 1C,"v128,i32",v128
i64x2.extractlane,laneidx,FD 1D,v128,i64
i64x2.replacelane,laneidx,FD 1E,"v128,i64",v128
f32x4.extractlane,laneidx,FD 1F,v128,f32
f32x4.replacelane,laneidx,FD 20,"v128,f32",v128
f64x2.extractlane,laneidx,FD 21,v128,f64
f64x2.replacelane,laneidx,FD 22,"v128,f64",v128
i8x16.veq,,FD 23,"v128,v128",v128
i8x16.vne,,FD 24,"v128,v128",v128
i8x16.vlt,s,FD 25,"v128,v128",v128
i8x16.vlt,u,FD 26,"v128,v128",v128
i8x16.vgt,s,FD 27,"v128,v128",v128
i8x16.vgt,u,FD 28,"v128,v128",v128
i8x16.vle,s,FD 29,"v128,v128",v128
i8x16.vle,u,FD 2A,"v128,v128",v128
i8x16.vge,s,FD 2B,"v128,v128",v128
i8x16.vge,u,FD 2C,"v128,v128",v128
i16x8.veq,,FD 2D,"v128,v128",v128
i16x8.vne,,FD 2E,"v128,v128",v128
i16x8.vlt,s,FD 2F,"v128,v128",v128
i16x8.vlt,u,FD 30,"v128,v128",v128
i16x8.vgt,s,FD 31,"v128,v128",v128
i16x8.vgt,u,FD 32,"v128,v128",v128
i16x8.vle,s,FD 33,"v128,v128",v128
i16x8.vle,u,FD 34,"v128,v128",v128
i16x8.vge,s,FD 35,"v128,v128",v128
i16x8.vge,u,FD 36,"v128,v128",v128
i32x4.veq,,FD 37,"v128,v128",v128
i32x4.vne,,FD 38,"v128,v128",v128
i32x4.vlt,s,FD 39,"v128,v128",v128
i32x4.vlt,u,FD 3A,"v128,v128",v128
i32x4.vgt,s,FD 3B,"v128,v128",v128
i32x4.vgt,u,FD 3C,"v128,v128",v128
i32x4.vle,s,FD 3D,"v128,v128",v128
i32x4.vle,u,FD 3E,"v128,v128",v128
i32x4.vge,s,FD 3F,"v128,v128",v128
i32x4.vge,u,FD 40,"v128,v128",v128
f32x4.veq,,FD 41,"v128,v128",v128
f32x4.vne,,FD 42,"v128,v128",v128
f32x4.vlt,,FD 43,"v128,v128",v128
f32x4.vgt,,FD 44,"v128,v128",v128
f32x4.vle,,FD 45,"v128,v128",v128
f32x4.vge,,FD 46,"v128,v128",v128
f64x2.veq,,FD 47,"v128,v128",v128
f64x2.vne,,FD 48,"v128,v128",v128
f64x2.vlt,,FD 49,"v128,v128",v128
f64x2.vgt,,FD 4A,"v128,v128",v128
f64x2.vle,,FD 4B,"v128,v128",v128
f64x2.vge,,FD 4C,"v128,v128",v128
v128.vnot,,FD 4D,v128,v128
v128.vand,,FD 4E,"v128,v128",v128
