instruction,immediates,opcode,input,output
unreachable,,00,t1[],t2[]
nop,,01,,
block,bt,02,t1[],t2[]
loop,bt,03,t1[],t2[]
if,bt,04,t1[] i32,t2[]
else,,05,,
end,,0B,,
br,l,0C,t1[] t[],t2[]
brif,l,0D,t[] i32,t[]
brtable,l l,0E,t1[] t[] i32,t2[]
return,,0F,t1[] t[],t2[]
call,x,10,t1[],t2[]
callindirect,x y,11,t1[] i32,t2[]
drop,,1A,t,
select,,1B,t t i32,t
select_typed,t,1C,t t i32,t
localget,local,20,,t
localset,local,21,t,
localtee,local,22,t,t
globalget,global,23,,t
globalset,global,24,t,
tableget,x,25,i32,t
tableset,x,26,i32 t,
i32.load,memarg,28,i32,i32
i64.load,memarg,29,i32,i64
f32.load,memarg,2A,i32,f32
f64.load,memarg,2B,i32,f64
i32.load8_s,memarg,2C,i32,i32
i32.load8_u,memarg,2D,i32,i32
i32.load16_s,memarg,2E,i32,i32
i32.load16_u,memarg,2F,i32,i32
i64.load8_s,memarg,30,i32,i64
i64.load8_u,memarg,31,i32,i64
i64.load16_s,memarg,32,i32,i64
i64.load16_u,memarg,33,i32,i64
i64.load32_s,memarg,34,i32,i64
i64.load32_u,memarg,35,i32,i64
i32.store,memarg,36,i32 i32,
i64.store,memarg,37,i32 i64,
f32.store,memarg,38,i32 f32,
f64.store,memarg,39,i32 f64,
i32.store8,memarg,3A,i32 i32,
i32.store16,memarg,3B,i32 i32,
i64.store8,memarg,3C,i32 i64,
i64.store16,memarg,3D,i32 i64,
i64.store32,memarg,3E,i32 i64,
memorysize,,3F,,i32
memorygrow,,40,i32,i32
i32.const,i32,41,,i32
i64.const,i64,42,,i64
f32.const,f32,43,,f32
f64.const,f64,44,,f64
i32.eqz,,45,i32,i32
i32.eq,,46,i32 i32,i32
i32.ne,,47,i32 i32,i32
i32.lt_s,,48,i32 i32,i32
i32.lt_u,,49,i32 i32,i32
i32.gt_s,,4A,i32 i32,i32
i32.gt_u,,4B,i32 i32,i32
i32.le_s,,4C,i32 i32,i32
i32.le_u,,4D,i32 i32,i32
i32.ge_s,,4E,i32 i32,i32
i32.ge_u,,4F,i32 i32,i32
i64.eqz,,50,i64,i32
i64.eq,,51,i64 i64,i32
i64.ne,,52,i64 i64,i32
i64.lt_s,,53,i64 i64,i32
i64.lt_u,,54,i64 i64,i32
i64.gt_s,,55,i64 i64,i32
i64.gt_u,,56,i64 i64,i32
i64.le_s,,57,i64 i64,i32
i64.le_u,,58,i64 i64,i32
i64.ge_s,,59,i64 i64,i32
i64.ge_u,,5A,i64 i64,i32
f32.eq,,5B,f32 f32,i32
f32.ne,,5C,f32 f32,i32
f32.lt,,5D,f32 f32,i32
f32.gt,,5E,f32 f32,i32
f32.le,,5F,f32 f32,i32
f32.ge,,60,f32 f32,i32
f64.eq,,61,f64 f64,i32
f64.ne,,62,f64 f64,i32
f64.lt,,63,f64 f64,i32
f64.gt,,64,f64 f64,i32
f64.le,,65,f64 f64,i32
f64.ge,,66,f64 f64,i32
i32.clz,,67,i32,i32
i32.ctz,,68,i32,i32
i32.popcnt,,69,i32,i32
i32.add,,6A,i32 i32,i32
i32.sub,,6B,i32 i32,i32
i32.mul,,6C,i32 i32,i32
i32.div_s,,6D,i32 i32,i32
i32.div_u,,6E,i32 i32,i32
i32.rem_s,,6F,i32 i32,i32
i32.rem_u,,70,i32 i32,i32
i32.and,,71,i32 i32,i32
i32.or,,72,i32 i32,i32
i32.xor,,73,i32 i32,i32
i32.shl,,74,i32 i32,i32
i32.shr_s,,75,i32 i32,i32
i32.shr_u,,76,i32 i32,i32
i32.rotl,,77,i32 i32,i32
i32.rotr,,78,i32 i32,i32
i64.clz,,79,i64,i64
i64.ctz,,7A,i64,i64
i64.popcnt,,7B,i64,i64
i64.add,,7C,i64 i64,i64
i64.sub,,7D,i64 i64,i64
i64.mul,,7E,i64 i64,i64
i64.div_s,,7F,i64 i64,i64
i64.div_u,,80,i64 i64,i64
i64.rem_s,,81,i64 i64,i64
i64.rem_u,,82,i64 i64,i64
i64.and,,83,i64 i64,i64
i64.or,,84,i64 i64,i64
i64.xor,,85,i64 i64,i64
i64.shl,,86,i64 i64,i64
i64.shr_s,,87,i64 i64,i64
i64.shr_u,,88,i64 i64,i64
i64.rotl,,89,i64 i64,i64
i64.rotr,,8A,i64 i64,i64
f32.abs,,8B,f32,f32
f32.neg,,8C,f32,f32
f32.ceil,,8D,f32,f32
f32.floor,,8E,f32,f32
f32.trunc,,8F,f32,f32
f32.nearest,,90,f32,f32
f32.sqrt,,91,f32,f32
f32.add,,92,f32 f32,f32
f32.sub,,93,f32 f32,f32
f32.mul,,94,f32 f32,f32
f32.div,,95,f32 f32,f32
f32.fmin,,96,f32 f32,f32
f32.fmax,,97,f32 f32,f32
f32.copysign,,98,f32 f32,f32
f64.abs,,99,f64,f64
f64.neg,,9A,f64,f64
f64.ceil,,9B,f64,f64
f64.floor,,9C,f64,f64
f64.trunc,,9D,f64,f64
f64.nearest,,9E,f64,f64
f64.sqrt,,9F,f64,f64
f64.add,,A0,f64 f64,f64
f64.sub,,A1,f64 f64,f64
f64.mul,,A2,f64 f64,f64
f64.div,,A3,f64 f64,f64
f64.fmin,,A4,f64 f64,f64
f64.fmax,,A5,f64 f64,f64
f64.copysign,,A6,f64 f64,f64
i32.wrap_i64,,A7,i64,i32
i32.trunc_f32_s,,A8,f32,i32
i32.trunc_f32_u,,A9,f32,i32
i32.trunc_f64_s,,AA,f64,i32
i32.trunc_f64_u,,AB,f64,i32
i64.extend_i32_s,,AC,i32,i64
i64.extend_i32_u,,AD,i32,i64
i64.trunc_f32_s,,AE,f32,i64
i64.trunc_f32_u,,AF,f32,i64
